vname,mean
tau.214,12.241975733
tau.215,18.61772473
tau.216,23.031368555
tau.217,20.4296330745
tau.218,20.213189255
tau.219,6.8020290105
tau.220,6.53530957
tau.221,24.60323626
tau.222,13.4573430065
tau.223,12.070972345
tau.224,13.24939145
tau.225,8.4993592585
tau.226,15.206930165
tau.227,7.2937875025
tau.228,3.843570629
tau.229,28.879048835
tau.230,8.663624151
tau.231,7.507351934
tau.232,3.8024448421
tau.233,6.0888250785
tau.234,5.998400415
tau.235,11.3237134
tau.236,5.3576757515
tau.237,18.336052283
tau.238,10.6605025265
tau.239,2.4597840125
tau.240,8.256110245
tau.241,8.228812465
tau.242,9.76192745
tau.243,6.2933186025
tau.244,5.4228070795
tau.245,18.147529933
tau.246,4.4428952275
tau.247,16.515146055
tau.248,13.92340194
tau.249,17.67324974
tau.250,14.72064931
tau.251,18.471316365
tau.252,5.775043005
tau.253,3.0889780489
tau.254,25.937656744999998
tau.255,21.90964171
tau.256,7.1699424615
tau.257,3.5087537855
tau.258,10.795154475
tau.259,13.6937868095
tau.260,13.4401544585
tau.261,5.1727598525
tau.262,12.042179405
tau.263,17.900818595
tau.264,11.42313116
tau.265,12.624552635
tau.266,39.7836114
tau.267,11.52210662
tau.268,28.44998771
tau.269,5.0528588775
tau.270,13.1917634855
tau.271,13.109056739
tau.272,12.521650355
tau.273,12.016635533
tau.274,6.0892370435
tau.275,8.952289165
tau.276,25.37270167
tau.277,7.9247328915
tau.278,4.421191021
tau.279,10.81177714
tau.280,18.13408565
tau.281,13.404049145
tau.282,4.522829008
tau.283,20.170789155
tau.284,9.83445436
tau.285,18.267604655
tau.286,8.31154196
tau.287,16.15647262
tau.288,2.3903425583
tau.289,8.4948263999999991
tau.290,8.54409872
tau.291,7.124439591
tau.292,9.2803300005
tau.293,14.6278224
tau.294,13.815476845
tau.295,14.101934285
tau.296,6.8412918915
tau.297,5.4272061765
tau.298,5.712651787
tau.299,6.3958600555
tau.300,8.41107836
tau.301,13.065259155
tau.302,7.8561164845
tau.303,11.494028155
tau.304,7.755935125
tau.305,3.693488908
tau.306,10.066205010000001
tau.307,9.3977374705
tau.308,26.8938305
tau.309,19.360699805
tau.310,18.25710777
tau.311,6.838333713
tau.312,5.221207578
tau.313,15.24386127
tau.314,18.547938895
tau.315,7.716720712
tau.316,15.5005185335
tau.317,9.1284286445
tau.318,16.72801468
tau.319,9.351531724
tau.320,3.9055132855
tau.321,7.817352211
tau.322,13.2265442857
tau.323,18.564003335
tau.324,13.60135747
tau.325,16.106332535
tau.326,11.3978117985
tau.327,10.433774382
tau.328,16.028248835
tau.329,5.3436612905
tau.330,16.73093672
tau.331,5.381545749
tau.332,9.014087195
tau.333,3.79174092905
tau.334,7.406303247
tau.335,8.8417622735
tau.336,12.733159654
tau.337,8.3200687185
tau.338,5.4970055865
tau.339,4.483488938
tau.340,8.363304815
tau.341,25.233964485
tau.342,5.1585975705
tau.343,12.7763345955
tau.344,8.24832903
tau.345,16.384298725
tau.346,4.916699502
tau.347,8.2044225705
tau.348,6.5870443055
tau.349,3.0748278157
tau.350,2.6165973582
tau.351,15.840251675
tau.352,10.4058345815
tau.353,9.937929915
tau.354,19.5347385
tau.355,6.697855784
tau.356,14.259277305
tau.357,9.871111741
tau.358,20.662555115
tau.359,4.151182769
tau.360,10.737688825
tau.361,7.89298868
tau.362,15.682705625
tau.363,5.190295799
tau.364,12.146402549415
tau.365,15.429990084
tau.366,6.675814685
tau.367,7.01037425
tau.368,6.6541529602
tau.369,11.936481515
tau.370,9.105263585
tau.371,8.6224320835
tau.372,7.3556667475
tau.373,4.6047374285
tau.374,6.0517043845
tau.375,5.4538582225
tau.376,18.1208207595
tau.377,12.33616977
tau.378,8.98680982
tau.379,7.0432565325
tau.380,4.5199428965
tau.381,4.94344863
tau.382,20.432542745
tau.383,5.7831338085
tau.384,7.463869648
tau.385,4.6925236055
tau.386,7.6451642515
tau.387,2.47377672625
tau.388,6.1165790672
tau.389,10.714288996
tau.390,9.0710569795
tau.391,2.9675381845
tau.392,8.882142745
tau.393,9.20458998
tau.394,9.72591007
tau.395,8.2920337145
tau.396,4.371791376
tau.397,11.0904371
tau.398,22.244609
tau.399,2.83970693545
tau.400,15.738312985
tau.401,8.267059005
tau.402,18.63620224
tau.403,16.98123453
tau.404,8.896518465
tau.405,3.3570661325
tau.406,10.145364495
tau.407,13.389500235
tau.408,10.3688171945
tau.409,5.9512531895
tau.410,1.8647966283
tau.411,6.350878048
tau.412,6.0453484885
tau.413,15.5782392
tau.414,4.1688046295
tau.415,7.326070267
tau.416,11.317266705
tau.417,13.84728099
tau.418,30.781881115
tau.419,6.033074303
tau.420,7.590329235
tau.421,9.500249655
tau.422,7.232032917
tau.423,7.868109802
tau.424,8.3323738605
tau.425,6.1653002425
tau.426,8.13533617
tau.427,9.3287381245
tau.428,25.99968242
tau.429,12.964200205
tau.430,4.9300340845
tau.431,4.8486713435
tau.432,6.678380981
tau.433,3.7498598952
tau.434,7.407905285
tau.435,4.6554115272
tau.436,14.8154536395
tau.437,9.439091302
tau.438,3.05715380185
tau.439,20.346712805
tau.440,10.954808147
tau.441,18.9416180585
tau.442,11.01182471
tau.443,9.059283963
tau.444,9.73050796
tau.445,8.449435244
tau.446,4.5875541666
tau.447,19.6765868
tau.448,11.34855991
tau.449,12.54831805425
tau.450,19.166917665
tau.451,6.87671697
tau.452,17.913233145
tau.453,32.6737112
tau.454,8.655978829
tau.455,10.957937138
tau.456,4.454453227
tau.457,10.44411257
tau.458,13.2080419385
tau.459,3.6325783115
tau.460,25.601517855
tau.461,10.433442068
tau.462,5.28404275035
tau.463,3.2249360138
tau.464,13.230079885
tau.465,19.675463635
tau.466,4.494636786
tau.467,8.203561646
tau.468,9.1865715435
tau.469,27.24109669
tau.470,15.645073001
tau.471,6.3869998615
tau.472,6.7930085695
tau.473,18.608855585
tau.474,4.354871557
tau.475,2.69450520385
tau.476,5.8787929085
tau.477,10.115285935
tau.478,15.151510035
tau.479,14.854735305
tau.480,6.8016490115
tau.481,6.579386719
tau.482,5.064315368
tau.483,3.177982757
tau.484,7.346754283
tau.485,17.171999535
tau.486,4.8108349398
tau.487,12.48893043
tau.488,13.392547995
tau.489,3.76452651815
tau.490,20.83791518
tau.491,19.366886235
tau.492,9.043003243
tau.493,8.3305485135
tau.494,2.3145173125
tau.495,1.533103143
tau.496,12.54330564363
tau.497,5.686889893
tau.498,5.2916272325
tau.499,13.933210745
tau.500,6.715945477
tau.501,6.660385768
tau.502,15.909740285
tau.503,8.9395975245
tau.504,20.14786621
tau.505,9.5757559905
tau.506,4.1723385363
tau.507,23.9332282
tau.508,4.662284769
tau.509,6.585839902
tau.510,3.0394236945
tau.511,3.86103967655
tau.512,9.0266902155
tau.513,8.061426467
tau.514,11.3852264
tau.515,4.793405391
tau.516,12.2915439766
tau.517,7.41052271
tau.518,7.684094569
tau.519,17.39381142
tau.520,11.126848008
tau.521,5.831882207
tau.522,8.448299247
tau.523,16.07554544
tau.524,2.35624629465
tau.525,12.510012123
tau.526,13.32241205
tau.527,12.8215369885
tau.528,8.398262861
tau.529,2.95195960595
tau.530,10.525663125
tau.531,5.1061620875000004
tau.532,26.104485825
tau.533,11.576926895
tau.534,2.76441385385
tau.535,5.6535773355
tau.536,2.39405683295
tau.537,9.0341941585
tau.538,9.965380805
tau.539,13.107877058
tau.540,7.237652627
tau.541,9.549434867
tau.542,7.40301422
tau.543,6.633325498
tau.544,14.87059202
tau.545,11.9111947775
tau.546,7.2959410425
tau.547,3.5122299225
tau.548,6.2645988195
tau.549,9.85733072
tau.550,8.502785661
tau.551,4.4756067225
tau.552,3.7691559045
tau.553,7.386688975
tau.554,12.3866606272
tau.555,4.4182320898
tau.556,6.6302261525
tau.557,7.9438351035
tau.558,6.4212234655
tau.559,10.743288328
tau.560,7.9716075415
tau.561,11.786328827
tau.562,14.1386069
tau.563,7.856599453
tau.564,9.434260415
tau.565,7.0831805175
tau.566,9.412847093
tau.567,13.135264915
tau.568,5.1241842341
tau.569,6.6237649555
tau.570,12.11565832
tau.571,16.1647032475
tau.572,9.3980933535
tau.573,3.99421309
tau.574,4.1659925975
tau.575,8.0471934
tau.576,23.689006805000002
tau.577,7.476001282
tau.578,15.4582987795
tau.579,3.86489133065
tau.580,4.551099349
tau.581,9.52232221
tau.582,19.07175425
tau.583,10.418268325
tau.584,9.7772708085
tau.585,9.7631327425
tau.586,5.318507475
tau.587,21.537082985
tau.588,11.184949735
tau.589,33.54863143
tau.590,8.1859496275
tau.591,7.64325817
tau.592,17.904977105
tau.593,20.67283712
tau.594,16.510358945
tau.595,11.8192728015
tau.596,7.7039246
tau.597,10.76838792
tau.598,7.0630801525
tau.599,15.49558407
tau.600,4.7543778855
tau.601,20.489924065
tau.602,2.7747213867
tau.603,16.403762685
tau.604,7.3329060715
tau.605,9.08843097
tau.606,4.2835386243
tau.607,11.5366701
tau.608,13.482382065
tau.609,28.2345207
tau.610,12.764974695
tau.611,6.368837879
tau.612,3.254899855
tau.613,12.70675318405
tau.614,2.3131669079
tau.615,11.29272283
tau.616,22.586501965
tau.617,6.0292447765
tau.618,3.205259164
tau.619,18.59801465
tau.620,4.7818383
tau.621,4.9066385485
tau.622,6.705448196
tau.623,5.2149511345
tau.624,6.868069017
tau.625,11.504069865
tau.626,4.427873347
tau.627,10.846905255
tau.628,3.7287715835
tau.629,6.436891127
tau.630,15.11805765
tau.631,10.7135059105
tau.632,10.97784862
tau.633,26.871863775
tau.634,5.4519566995
tau.635,3.1037500541
tau.636,10.1692035495
tau.637,22.388046965
tau.638,3.0717161695
tau.639,8.5975036815
tau.640,7.71637437
tau.641,18.069450155
tau.642,7.5476308145
tau.643,12.907165675
tau.644,18.042482885
tau.645,7.758188795
tau.646,11.295427705
tau.647,13.380322405
tau.648,2.9605363405
tau.649,13.09083636
tau.650,24.24731237
tau.651,3.990629806
tau.652,10.329675471
tau.653,7.292806862
tau.654,1.82261342515
tau.655,11.541545725
tau.656,4.8892491525
tau.657,12.35573538
tau.658,9.336447907
tau.659,15.740178155
tau.660,6.682582613
tau.661,6.4647411825
tau.662,2.4647655025
tau.663,4.1938867225
tau.664,17.121725
tau.665,21.156054525
tau.666,6.3866793515
tau.667,7.4534924945
tau.668,11.471854595
tau.669,7.4930093065
tau.670,6.300133415
tau.671,11.147569965
tau.672,8.198697812
tau.673,26.24513065
tau.674,11.423431865
tau.675,8.822797986
tau.676,17.08760652
tau.677,7.504876775
tau.678,6.031305874
tau.679,4.5806962025
tau.680,23.406768985
tau.681,7.4570717925
tau.682,6.5396849135
tau.683,8.253948174
tau.684,18.107885558
tau.685,24.027268325
tau.686,12.98801603475
tau.687,10.02844122
tau.688,3.6592631025
tau.689,3.7844388565
tau.690,7.7372022145
tau.691,6.826380997
tau.692,14.448837935
tau.693,4.2574192995
tau.694,17.9849697
tau.695,5.729222251
tau.696,4.3025794923
tau.697,3.3330257742
tau.698,7.741420499
tau.699,17.671529512
tau.700,17.373594395
tau.701,16.145054215
tau.702,12.925796485
tau.703,4.174882659
tau.704,5.37739034255
tau.705,10.120257405
tau.706,13.690487135
tau.707,26.0238009
tau.708,4.6135318705
tau.709,2.8509581363
tau.710,20.190181055
tau.711,10.8708479495
tau.712,5.499526835
tau.713,13.077730435
tau.714,6.675705045
tau.715,6.1149219165
tau.716,10.36930892
tau.717,7.0294959565
tau.718,6.812695634
tau.719,9.478137639
tau.720,7.322708409
tau.721,15.883108825
tau.722,7.192242905
tau.723,2.635701167
tau.724,7.5490096555
tau.725,17.07555396
tau.726,3.6854655595
tau.727,4.1192775875
tau.728,2.8338497149
tau.729,20.412567095
tau.730,8.13107408745
tau.731,21.2529221
tau.732,8.301532496
tau.733,2.4209874141
tau.734,8.083107625
tau.735,15.968172295
tau.736,7.993735785
tau.737,5.6649357175
tau.738,17.96916893
tau.739,2.4574593733
tau.740,13.213576935
tau.741,11.1613578415
tau.742,20.86926137
tau.743,8.117453913
tau.744,13.30546922325
tau.745,11.882678335
tau.746,5.746226488
tau.747,8.847346713
tau.748,4.312348805
tau.749,6.9131308185
tau.750,14.836011215
tau.751,8.8290597025
tau.752,12.51638009
