[UNK]
TEXTBOX_KILLFOCUS-id=hlpWB_txt10|Find
TOOLBAR_ss-copy-id=ss-copy
COMBOBOX-id=menulist|14
COMBOBOX-id=menulist|13
COMBOBOX-id=sortablecol3|4
COMBOBOX-id=menulist|24
COMBOBOX-id=menulist|18
COMBOBOX-id=menulist|16
COMBOBOX-id=sortablecol2|2
COMBOBOX-id=sortablecol2|1
COMBOBOX-id=menulist|25
COMBOBOX-id=menulist|23
COMBOBOX-id=menulist|21
COMBOBOX-id=menulist|0
RADIO_BTN-id=priority3desc
MENUITEM_save-key=save
COMBOBOX-id=sortablecol3|1
COMBOBOX-id=menulist|19
TEXTBOX_ONFOCUS-id=manage_bookmark_url_input|
TEXTBOX_KILLFOCUS-id=manage_bookmark_url_input|
RADIO_BTN-id=priority2desc
MENUITEM_ss-help-key=undefined
MENU-id=ss-help-menu
END_CANCEL-id=endunit_txt4
COMBOBOX-id=sortablecol3|2
COMBOBOX-id=menulist|15
COMBOBOX-id=menulist|12
TEXTBOX_ONFOCUS-id=sort_title1|Sort_by
TEXTBOX_KILLFOCUS-id=sort_title1|Sort_by
TEXTBOX_KILLFOCUS-id=searchtfield|BLUES
MAN_BOOKMARK_cancel-id=manage_bookmark_window_cancel
COMBOBOX-id=sortablecol2|4
COMBOBOX-id=sortablecol2|0
COMBOBOX-id=menulist|20
COMBOBOX-id=menulist|17
BREAKOFF-REQUEST
TOOLBAR_ss-paste-id=ss-paste
TOOLBAR_ss-cut-id=ss-cut
TEXTBOX_ONFOCUS-id=manage_bookmark_title_input|
TEXTBOX_ONFOCUS-id=endtask_txt2|Are_you_sure_you_want_to_continue_to_the_next_part_of_this_task?
TEXTBOX_ONFOCUS-id=add_bookmark_bookmark_title_input|CD_World
TEXTBOX_KILLFOCUS-id=endtask_txt2|Are_you_sure_you_want_to_continue_to_the_next_part_of_this_task?
TEXTBOX_KILLFOCUS-id=add_bookmark_bookmark_title_input|blues
TEXTBOX_KILLFOCUS-id=add_bookmark_bookmark_title_input|CD_World_BLUES_INVENTORY
COMBOBOX-id=sortablecol1|1
COMBOBOX-id=menulist|22
TEXTBOX_ONFOCUS-popup1_txt1|Your_file_has_been_saved._Please_click_Close_to_continue.
TEXTBOX_ONFOCUS-id=searchtfield|rock
TEXTBOX_ONFOCUS-id=searchtfield|jazz
TEXTBOX_ONFOCUS-id=searchtfield|classical
TEXTBOX_ONFOCUS-id=searchtfield|Blues
TEXTBOX_ONFOCUS-id=searchtfield|3003-Blues
TEXTBOX_ONFOCUS-id=manage_bookmark_title_input|BLUES
TEXTBOX_ONFOCUS-id=add_bookmark_bookmark_title_input|blues
TEXTBOX_ONFOCUS-id=add_bookmark_bookmark_title_input|CD_World_BLUES_INVENTORY
TEXTBOX_KILLFOCUS-popup1_txt1|Your_file_has_been_saved._Please_click_Close_to_continue.
TEXTBOX_KILLFOCUS-id=searchtfield|rock
TEXTBOX_KILLFOCUS-id=searchtfield|jazz
TEXTBOX_KILLFOCUS-id=searchtfield|folk
TEXTBOX_KILLFOCUS-id=searchtfield|classical
TEXTBOX_KILLFOCUS-id=searchtfield|3003_blues
TEXTBOX_KILLFOCUS-id=searchtfield|3003_-_Blues
TEXTBOX_KILLFOCUS-id=searchtfield|3003-Blues
TEXTBOX_KILLFOCUS-id=searchtfield|
TEXTBOX_KILLFOCUS-id=manage_bookmark_title_input|BLUES_INVENTORY
TEXTBOX_KILLFOCUS-id=manage_bookmark_title_input|BLUES
TEXTBOX_KILLFOCUS-id=manage_bookmark_title_input|
RESTART-TEST_TIME=878
MENUITEM_bookmark-add-key=bookmark-add
MAN_BOOKMARK_ok-id=manage_bookmark_window_validation
COMBOBOX-id=sortablecol1|4
