[UNK]
TEXTLINK-pg4_txt30.href=unit21page6.target=self
TEXTLINK-pg2_txt3.href=unit21page6.target=self
TEXTBOX_ONFOCUS-popup2_txt2.value=Your_order_is_incomplete_or_includes_games_that_are_not_available.
TEXTBOX_KILLFOCUS-popup2_txt2.value=Your_order_is_incomplete_or_includes_games_that_are_not_available.
RESTART
COMBOBOX-pg4_menu2.index=3
COMBOBOX-pg4_menu1.index=2
COMBOBOX-pg2_menu6.index=6
COMBOBOX-pg2_menu6.index=10
COMBOBOX-pg2_menu5.index=3
COMBOBOX-pg2_menu5.index=2
COMBOBOX-pg2_menu5.index=1
COMBOBOX-pg2_menu4.index=7
COMBOBOX-pg2_menu4.index=11
COMBOBOX-pg2_menu2.index=4
COMBOBOX-pg2_menu1.index=6
COMBOBOX-pg2_menu1.index=18
COMBOBOX-default_menu1.index=0
TOOLBAR-toolbar_go_btn
TEXTLINK-pg4_txt47.href=unit21page6.target=self
TEXTLINK-pg4_txt43.href=unit21page6.target=self
TEXTLINK-pg4_txt41.href=unit21page6.target=self
TEXTLINK-pg4_txt38.href=unit21page6.target=self
TEXTLINK-pg4_txt37.href=unit21page6.target=self
TEXTLINK-pg4_txt34.href=unit21page6.target=self
TEXTLINK-pg4_txt29.href=unit21page6.target=self
TEXTBOX_ONFOCUS-popup4_txt2.value=Please_click_the_button_below_to_view_the_schedule.
TEXTBOX_ONFOCUS-endunit_txt2.value=Are_you_sure_you_want_to_continue_to_the_next_task?
TEXTBOX_KILLFOCUS-popup4_txt2.value=Please_click_the_button_below_to_view_the_schedule.
TEXTBOX_KILLFOCUS-endunit_txt2.value=Are_you_sure_you_want_to_continue_to_the_next_task?
COMBOBOX-pg4_menu2.index=6
COMBOBOX-pg4_menu2.index=4
COMBOBOX-pg4_menu1.index=9
COMBOBOX-pg4_menu1.index=10
COMBOBOX-pg4_menu1.index=1
COMBOBOX-pg2_menu6.index=19
COMBOBOX-pg2_menu6.index=17
COMBOBOX-pg2_menu5.index=10
COMBOBOX-pg2_menu3.index=10
COMBOBOX-pg2_menu2.index=3
COMBOBOX-pg2_menu2.index=10
COMBOBOX-pg2_menu2.index=1
COMBOBOX-pg2_menu1.index=5
COMBOBOX-pg2_menu1.index=19
COMBOBOX-pg2_menu1.index=11
COMBOBOX-default_menu2.index=5
COMBOBOX-default_menu2.index=4
COMBOBOX-default_menu1.index=9
